iter	Logloss
0	0.5764876652
1	0.485576819
2	0.4169961211
3	0.3695315841
4	0.3331119426
5	0.3050556796
6	0.2891317979
7	0.2722863833
8	0.258688294
9	0.2490385832
10	0.2363713539
11	0.2283508642
12	0.2208193001
13	0.2121308296
14	0.2053903501
15	0.1998776047
16	0.1960863953
17	0.1901046596
18	0.1859872557
19	0.180425772
20	0.1772484733
21	0.1740661562
22	0.1697942194
23	0.1673258854
24	0.1641817286
25	0.1609184949
26	0.1577984086
27	0.1552866742
28	0.1529833491
29	0.1506469612
30	0.1480279203
31	0.145337486
32	0.1430295945
33	0.1410815491
34	0.1389573928
35	0.1370149271
36	0.1354083777
37	0.1334850389
38	0.1310002811
39	0.1297340511
40	0.1280613568
41	0.1261378182
42	0.1248954934
43	0.1238761878
44	0.1222534914
45	0.1209685346
46	0.1194792116
47	0.117690951
48	0.1168935316
49	0.1152934165
50	0.1139019489
51	0.1129734709
52	0.1116700836
53	0.1103205133
54	0.1093619744
55	0.1080404491
56	0.1068932473
57	0.1059824972
58	0.1050835996
59	0.1043662132
60	0.1036616876
61	0.1027861822
62	0.1019047573
63	0.1010169008
64	0.1002171125
65	0.09949957716
66	0.09835744203
67	0.09741747606
68	0.09662260562
69	0.09611925721
70	0.0951575159
71	0.09413221236
72	0.09338885948
73	0.09265611493
74	0.09187195208
75	0.09116868007
76	0.09027428068
77	0.08967271994
78	0.08925944421
79	0.08839459841
80	0.08772925503
81	0.0871303834
82	0.08659801852
83	0.0859187846
84	0.08509793318
85	0.08455417803
86	0.08388232506
87	0.08344131267
88	0.08285685665
89	0.08229644705
90	0.08172118741
91	0.08148015433
92	0.08117145101
93	0.08076882734
94	0.08043967727
95	0.07993466478
96	0.07950065276
97	0.07885825646
98	0.07843199328
99	0.07770445906
100	0.07703270872
101	0.07667180954
102	0.07607558595
103	0.07530034976
104	0.07495265164
105	0.07451135724
106	0.07422108058
107	0.07364590196
108	0.07329269754
109	0.07288730825
110	0.07249512969
111	0.07211288342
112	0.07181655559
113	0.07152901382
114	0.07103053145
115	0.07055108573
116	0.06989564056
117	0.06932398312
118	0.06898719822
119	0.06865415509
120	0.06816050695
121	0.06776890669
122	0.06741247366
123	0.06703439842
124	0.06655674656
125	0.06628275668
126	0.06590289153
127	0.06572176033
128	0.0653061116
129	0.06490634074
130	0.06463301007
131	0.0643189702
132	0.0640667199
133	0.06377933826
134	0.06354130578
135	0.0632064306
136	0.06295343544
137	0.06264025237
138	0.06210596737
139	0.06172144398
140	0.06157780863
141	0.06133810829
142	0.06108351366
143	0.06080970659
144	0.06060905643
145	0.06054749137
146	0.06030637382
147	0.05995363113
148	0.05961969992
149	0.05928178157
150	0.05908381529
151	0.05888468828
152	0.05866551836
153	0.05848008481
154	0.05828250424
155	0.05825732224
156	0.05796175346
157	0.05781101079
158	0.05760781175
159	0.05737234897
160	0.05691562371
161	0.05654253351
162	0.05641087393
163	0.05620586466
164	0.05596155032
165	0.05574706085
166	0.0556172003
167	0.05543082746
168	0.05524031634
169	0.05496666987
170	0.05485089326
171	0.05442672678
172	0.05405552778
173	0.05366583899
174	0.05341905978
175	0.05319044174
176	0.0528852584
177	0.05250920771
178	0.05239084952
179	0.05211529278
180	0.05186742736
181	0.05170016781
182	0.05155463862
183	0.05145951134
184	0.05117958938
185	0.05094921736
186	0.05082094916
187	0.05069861347
188	0.05055505853
189	0.05039032054
190	0.05018561952
191	0.05009834448
192	0.04996128554
193	0.04981872765
194	0.04970182492
195	0.04957863658
196	0.04919868135
197	0.04910598696
198	0.04895958917
199	0.04866778146
